dateDecision;decisionDirection
11/18/1946;1.6666666666666667
11/25/1946;1.75
12/9/1946;1.5555555555555556
12/16/1946;1.6666666666666667
12/23/1946;1.5
1/6/1947;1.8333333333333333
1/13/1947;1.4
1/20/1947;1.75
2/3/1947;1.8571428571428572
2/10/1947;1.0
2/17/1947;1.0
3/3/1947;1.5
3/6/1947;1.0
3/10/1947;1.7777777777777777
3/17/1947;2.0
3/31/1947;1.2857142857142858
4/7/1947;1.4
4/14/1947;1.4
4/28/1947;1.6
5/5/1947;1.6
5/12/1947;1.5
5/19/1947;2.0
6/2/1947;1.3333333333333333
6/9/1947;1.5
6/16/1947;1.6666666666666667
6/23/1947;1.3529411764705883
11/10/1947;2.0
11/17/1947;1.0
11/24/1947;1.5
12/8/1947;1.8
12/15/1947;1.0
12/22/1947;1.75
1/5/1948;2.0
1/12/1948;1.6666666666666667
1/19/1948;2.0
2/2/1948;1.8
2/9/1948;1.25
2/16/1948;1.5
3/8/1948;1.7272727272727273
3/15/1948;1.2
3/29/1948;1.75
4/5/1948;1.6666666666666667
4/19/1948;1.5
4/26/1948;1.8
5/3/1948;1.875
5/10/1948;1.5
5/17/1948;1.0
5/24/1948;1.5
6/1/1948;1.5
6/7/1948;1.7777777777777777
6/14/1948;1.6
6/21/1948;1.125
10/21/1948;1.0
11/8/1948;2.0
11/15/1948;1.0
11/22/1948;1.75
12/6/1948;2.0
12/13/1948;2.0
12/20/1948;1.0
1/3/1949;1.6666666666666667
1/17/1949;2.0
1/31/1949;1.5
2/7/1949;1.3333333333333333
2/14/1949;1.5
2/28/1949;1.6
3/7/1949;1.25
3/14/1949;1.3333333333333333
3/28/1949;2.0
4/4/1949;1.2
4/18/1949;1.6666666666666667
4/25/1949;1.25
5/2/1949;1.5
5/9/1949;2.0
5/16/1949;1.5
5/31/1949;1.5555555555555556
6/6/1949;1.25
6/13/1949;2.0
6/20/1949;1.3636363636363635
6/27/1949;1.6470588235294117
10/25/1948;
11/7/1949;1.5
11/14/1949;1.6666666666666667
11/21/1949;1.3333333333333333
12/5/1949;1.25
12/12/1949;1.75
12/19/1949;2.0
1/9/1950;1.4
1/16/1950;1.0
2/6/1950;1.4
2/13/1950;2.0
2/20/1950;1.5
3/13/1950;1.5
3/27/1950;1.4
4/3/1950;1.0
4/10/1950;2.0
4/17/1950;1.5
4/24/1950;1.6666666666666667
5/8/1950;1.3333333333333333
5/15/1950;1.25
5/29/1950;1.0
6/5/1950;1.3529411764705883
11/6/1950;1.5
11/13/1950;1.25
11/27/1950;1.5
12/4/1950;1.75
12/11/1950;1.8
1/2/1951;1.6666666666666667
1/8/1951;1.0
1/15/1951;1.5714285714285714
2/26/1951;1.588235294117647
3/26/1951;1.2
4/9/1951;1.6666666666666667
4/12/1951;1.0
4/23/1951;1.6
4/30/1951;1.3333333333333333
5/7/1951;1.1428571428571428
5/14/1951;1.0
5/21/1951;1.25
5/28/1951;1.5
6/4/1951;1.2727272727272727
10/23/1950;
11/5/1951;1.3396226415094339
11/13/1951;1.5
11/26/1951;1.3333333333333333
12/3/1951;1.5
12/11/1951;1.75
1/2/1952;1.2
1/7/1952;1.6666666666666667
1/14/1952;2.0
1/28/1952;1.5
2/4/1952;1.5
3/3/1952;1.4
3/10/1952;1.1428571428571428
3/24/1952;1.3333333333333333
3/31/1952;2.0
4/3/1952;1.0
4/7/1952;1.5
4/15/1952;1.0
4/21/1952;1.0
4/28/1952;1.0
5/5/1952;2.0
5/12/1952;1.5
5/26/1952;1.375
6/2/1952;1.4
6/9/1952;1.75
10/15/1951;
10/8/1952;1.0
10/20/1952;1.0
11/10/1952;1.3333333333333333
11/17/1952;1.75
11/24/1952;2.0
12/8/1952;1.5714285714285714
12/15/1952;1.5
12/22/1952;1.0
1/12/1953;1.2
1/19/1953;1.0
2/2/1953;1.8333333333333333
2/9/1953;1.5
3/9/1953;1.4166666666666667
3/16/1953;1.2857142857142858
4/6/1953;1.625
4/13/1953;1.0
4/27/1953;1.4
5/4/1953;1.25
5/18/1953;1.6666666666666667
5/25/1953;1.4
6/1/1953;1.75
6/8/1953;1.4285714285714286
6/15/1953;1.4285714285714286
6/19/1953;1.0
10/27/1952;
10/12/1953;1.5
11/9/1953;1.6666666666666667
11/16/1953;1.5
11/30/1953;1.6666666666666667
12/7/1953;1.5
12/14/1953;2.0
1/4/1954;1.6666666666666667
1/11/1954;1.5
1/18/1954;1.5
2/1/1954;1.3333333333333333
2/8/1954;1.1428571428571428
3/8/1954;1.7142857142857142
3/15/1954;1.6
4/5/1954;1.4
4/12/1954;1.0
4/26/1954;1.0
5/3/1954;2.0
5/17/1954;1.8333333333333333
5/24/1954;1.0
6/1/1954;1.6666666666666667
6/7/1954;1.2
10/14/1954;2.0
11/8/1954;2.0
11/22/1954;1.5
12/6/1954;1.6428571428571428
1/10/1955;1.8333333333333333
1/31/1955;2.0
2/7/1955;1.4
2/28/1955;2.0
3/7/1955;1.8
3/14/1955;1.6666666666666667
3/28/1955;1.8333333333333333
4/4/1955;1.5
11/15/1954;1.0
2/14/1955;1.5
4/11/1955;1.5
4/25/1955;1.5
5/9/1955;1.5
5/16/1955;1.8
5/23/1955;1.8571428571428572
5/31/1955;1.5
6/6/1955;1.6666666666666667
10/10/1955;2.0
10/17/1955;1.5
11/7/1955;1.6666666666666667
11/21/1955;1.5
12/5/1955;1.3333333333333333
12/12/1955;2.0
1/9/1956;1.6
1/16/1956;2.0
1/6/1956;2.0
1/23/1956;2.0
1/30/1956;2.0
2/27/1956;1.875
3/5/1956;1.5
3/12/1956;1.6666666666666667
3/26/1956;1.6666666666666667
4/2/1956;1.6666666666666667
4/9/1956;2.0
10/24/1955;1.3333333333333333
11/14/1955;2.0
4/23/1956;1.8571428571428572
4/30/1956;1.4
5/7/1956;1.75
5/14/1956;1.0
5/21/1956;1.6666666666666667
5/28/1956;2.0
6/4/1956;1.0
6/11/1956;1.6
11/5/1956;2.0
10/10/1956;2.0
10/15/1956;2.0
11/13/1956;1.5
11/19/1956;1.5
12/3/1956;1.3333333333333333
12/10/1956;1.8
12/17/1956;1.6666666666666667
1/14/1957;1.625
1/22/1957;2.0
1/28/1957;1.5
1/21/1957;1.0
2/25/1957;1.625
2/28/1957;2.0
3/11/1957;1.4
3/4/1957;2.0
3/25/1957;1.7142857142857142
4/1/1957;1.3333333333333333
4/8/1957;1.75
4/22/1957;1.5
4/29/1957;1.75
5/6/1957;1.75
5/13/1957;2.0
5/27/1957;1.5
6/3/1957;1.6
6/2/1957;2.0
6/10/1957;2.0
6/17/1957;1.6
6/24/1957;1.7777777777777777
7/11/1957;1.0
10/21/1957;2.0
11/12/1957;2.0
10/14/1957;2.0
11/18/1957;1.6666666666666667
11/25/1957;1.5
12/9/1957;1.5
12/16/1957;1.7142857142857142
1/6/1958;2.0
1/13/1958;1.5
1/20/1958;1.2
1/27/1958;1.25
2/3/1958;1.6666666666666667
3/3/1958;1.6666666666666667
3/10/1958;1.6666666666666667
3/17/1958;1.6
3/31/1958;1.4
4/7/1958;2.0
4/14/1958;2.0
4/28/1958;1.6666666666666667
5/5/1958;2.0
5/19/1958;1.5833333333333333
5/26/1958;1.6666666666666667
6/2/1958;2.0
6/9/1958;1.3333333333333333
6/16/1958;1.6363636363636365
6/23/1958;1.7142857142857142
6/30/1958;1.45
9/12/1958;2.0
10/13/1958;2.0
10/27/1958;2.0
11/10/1958;1.5
11/17/1958;2.0
10/20/1958;2.0
11/24/1958;1.75
12/8/1958;1.5
12/15/1958;1.8333333333333333
1/12/1959;2.0
1/19/1959;2.0
1/26/1959;1.5
2/24/1959;1.625
3/2/1959;1.3333333333333333
3/9/1959;1.0
3/23/1959;1.4
