voteId;issueArea;petitionerState;respondentState;jurisdiction;caseOriginState;caseSourceState;certReason;lcDisposition;decisionDirection
01;8.0;;;6.0;6.0;;11.0;2.0;2.0
02;8.0;;;6.0;6.0;;11.0;2.0;2.0
03;8.0;;;6.0;6.0;;11.0;2.0;2.0
04;8.0;;;6.0;6.0;;11.0;2.0;2.0
05;8.0;;;6.0;6.0;;11.0;2.0;2.0
06;8.0;;;6.0;6.0;;11.0;2.0;2.0
07;8.0;;;6.0;6.0;;11.0;2.0;2.0
08;8.0;;;6.0;6.0;;11.0;2.0;2.0
09;8.0;;;6.0;6.0;;11.0;2.0;2.0
01;1.0;;;1.0;52.0;;4.0;2.0;1.0
02;1.0;;;1.0;52.0;;4.0;2.0;1.0
03;1.0;;;1.0;52.0;;4.0;2.0;1.0
04;1.0;;;1.0;52.0;;4.0;2.0;1.0
05;1.0;;;1.0;52.0;;4.0;2.0;1.0
06;1.0;;;1.0;52.0;;4.0;2.0;1.0
07;1.0;;;1.0;52.0;;4.0;2.0;1.0
08;1.0;;;1.0;52.0;;4.0;2.0;1.0
09;1.0;;;1.0;52.0;;4.0;2.0;1.0
01;8.0;;;2.0;42.0;42.0;1.0;;2.0
02;8.0;;;2.0;42.0;42.0;1.0;;2.0
03;8.0;;;2.0;42.0;42.0;1.0;;2.0
04;8.0;;;2.0;42.0;42.0;1.0;;2.0
05;8.0;;;2.0;42.0;42.0;1.0;;2.0
06;8.0;;;2.0;42.0;42.0;1.0;;2.0
07;8.0;;;2.0;42.0;42.0;1.0;;2.0
08;8.0;;;2.0;42.0;42.0;1.0;;2.0
09;8.0;;;2.0;42.0;42.0;1.0;;2.0
01;2.0;;;1.0;;;10.0;;2.0
02;2.0;;;1.0;;;10.0;;2.0
03;2.0;;;1.0;;;10.0;;2.0
04;2.0;;;1.0;;;10.0;;2.0
05;2.0;;;1.0;;;10.0;;2.0
06;2.0;;;1.0;;;10.0;;2.0
07;2.0;;;1.0;;;10.0;;2.0
08;2.0;;;1.0;;;10.0;;2.0
09;2.0;;;1.0;;;10.0;;2.0
01;8.0;;;1.0;;;2.0;;2.0
02;8.0;;;1.0;;;2.0;;2.0
03;8.0;;;1.0;;;2.0;;2.0
04;8.0;;;1.0;;;2.0;;2.0
05;8.0;;;1.0;;;2.0;;2.0
06;8.0;;;1.0;;;2.0;;2.0
07;8.0;;;1.0;;;2.0;;2.0
08;8.0;;;1.0;;;2.0;;2.0
09;8.0;;;1.0;;;2.0;;2.0
01;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
02;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
03;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
04;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
05;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
06;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
07;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
08;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
09;8.0;;6.0;2.0;6.0;6.0;1.0;3.0;1.0
01;8.0;;;1.0;;;10.0;2.0;2.0
02;8.0;;;1.0;;;10.0;2.0;2.0
03;8.0;;;1.0;;;10.0;2.0;2.0
04;8.0;;;1.0;;;10.0;2.0;2.0
05;8.0;;;1.0;;;10.0;2.0;2.0
06;8.0;;;1.0;;;10.0;2.0;2.0
07;8.0;;;1.0;;;10.0;2.0;2.0
08;8.0;;;1.0;;;10.0;2.0;2.0
09;8.0;;;1.0;;;10.0;2.0;2.0
01;9.0;;;1.0;9.0;;12.0;5.0;1.0
02;9.0;;;1.0;9.0;;12.0;5.0;1.0
03;9.0;;;1.0;9.0;;12.0;5.0;1.0
04;9.0;;;1.0;9.0;;12.0;5.0;1.0
05;9.0;;;1.0;9.0;;12.0;5.0;1.0
06;9.0;;;1.0;9.0;;12.0;5.0;1.0
07;9.0;;;1.0;9.0;;12.0;5.0;1.0
08;9.0;;;1.0;9.0;;12.0;5.0;1.0
09;9.0;;;1.0;9.0;;12.0;5.0;1.0
01;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
02;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
03;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
04;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
05;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
06;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
07;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
08;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
09;7.0;2.0;;1.0;2.0;;10.0;2.0;1.0
01;8.0;;;1.0;21.0;;10.0;3.0;2.0
02;8.0;;;1.0;21.0;;10.0;3.0;2.0
03;8.0;;;1.0;21.0;;10.0;3.0;2.0
04;8.0;;;1.0;21.0;;10.0;3.0;2.0
05;8.0;;;1.0;21.0;;10.0;3.0;2.0
06;8.0;;;1.0;21.0;;10.0;3.0;2.0
07;8.0;;;1.0;21.0;;10.0;3.0;2.0
08;8.0;;;1.0;21.0;;10.0;3.0;2.0
09;8.0;;;1.0;21.0;;10.0;3.0;2.0
01;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
02;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
03;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
04;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
05;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
06;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
07;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
08;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
09;1.0;;17.0;1.0;17.0;17.0;10.0;2.0;1.0
01;2.0;;;1.0;6.0;;10.0;2.0;2.0
02;2.0;;;1.0;6.0;;10.0;2.0;2.0
03;2.0;;;1.0;6.0;;10.0;2.0;2.0
04;2.0;;;1.0;6.0;;10.0;2.0;2.0
05;2.0;;;1.0;6.0;;10.0;2.0;2.0
06;2.0;;;1.0;6.0;;10.0;2.0;2.0
07;2.0;;;1.0;6.0;;10.0;2.0;2.0
08;2.0;;;1.0;6.0;;10.0;2.0;2.0
09;2.0;;;1.0;6.0;;10.0;2.0;2.0
01;1.0;;;1.0;35.0;;4.0;3.0;1.0
02;1.0;;;1.0;35.0;;4.0;3.0;1.0
03;1.0;;;1.0;35.0;;4.0;3.0;1.0
04;1.0;;;1.0;35.0;;4.0;3.0;1.0
05;1.0;;;1.0;35.0;;4.0;3.0;1.0
06;1.0;;;1.0;35.0;;4.0;3.0;1.0
07;1.0;;;1.0;35.0;;4.0;3.0;1.0
08;1.0;;;1.0;35.0;;4.0;3.0;1.0
09;1.0;;;1.0;35.0;;4.0;3.0;1.0
01;1.0;;;1.0;35.0;;4.0;2.0;2.0
